Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31 00:00:00,146.84375,147.5,146.25,146.875,99.11618042,3172700
2000-01-03 00:00:00,148.25,148.25,143.875,145.4375,98.14607239,8164300
2000-01-04 00:00:00,143.53125,144.0625,139.640625,139.75,94.3079834,8089800
2000-01-05 00:00:00,139.9375,141.53125,137.25,140,94.47668457,12177900
2000-01-06 00:00:00,139.625,141.5,137.75,137.75,92.95833588,6227200
2000-01-07 00:00:00,140.3125,145.75,140.0625,145.75,98.356987,8066500
2000-01-10 00:00:00,146.25,146.90625,145.03125,146.25,98.69439697,5741700
2000-01-11 00:00:00,145.8125,146.09375,143.5,144.5,97.51343536,7503700
2000-01-12 00:00:00,144.59375,144.59375,142.875,143.0625,96.54337311,6907700
2000-01-13 00:00:00,144.46875,145.75,143.28125,145,97.85087585,5158300
2000-01-14 00:00:00,146.53125,147.46875,145.96875,146.96875,99.17945099,7437300
2000-01-18 00:00:00,145.34375,146.625,145.1875,145.8125,98.39914703,6488500
2000-01-19 00:00:00,145.3125,147,145,147,99.20049286,6157900
2000-01-20 00:00:00,146.96875,146.96875,143.8125,144.75,97.68213654,5800100
2000-01-21 00:00:00,145.5,145.5,144.0625,144.4375,97.47119904,6244800
2000-01-24 00:00:00,145.65625,145.84375,139.40625,140.34375,94.7086792,7896900
2000-01-25 00:00:00,140.515625,141.9375,139,141.9375,95.78418732,9942500
2000-01-26 00:00:00,141,141.546875,140.09375,140.8125,95.0249939,5158100
2000-01-27 00:00:00,141.84375,142.21875,138.125,140.25,94.64540863,10922700
2000-01-28 00:00:00,139.4375,140.0625,135.53125,135.875,91.69297791,11916200
2000-01-31 00:00:00,135.8125,139.671875,135,139.5625,94.18144989,10768700
2000-02-01 00:00:00,139.75,141.6875,138.53125,140.9375,95.10935211,8419900
2000-02-02 00:00:00,141.28125,142.25,140.375,141.0625,95.19372559,6205900
2000-02-03 00:00:00,140.875,143.25,140,143.1875,96.62769318,7997500
2000-02-04 00:00:00,143.1875,144,142.125,142.59375,96.22706604,4925400
2000-02-07 00:00:00,142.5625,142.78125,141.4375,142.375,96.079422,5845800
2000-02-08 00:00:00,143.96875,144.5625,143.625,144.3125,97.3868866,4936400
2000-02-09 00:00:00,144.46875,144.46875,141.265625,141.28125,95.34130096,8511500
2000-02-10 00:00:00,141.625,142.5625,140.875,141.5625,95.53111267,6690600
2000-02-11 00:00:00,141.84375,141.9375,138.03125,138.6875,93.59102631,9849800
2000-02-14 00:00:00,139.78125,139.78125,138.3125,139.5,94.13930511,8528800
2000-02-15 00:00:00,139.25,141.21875,137.796875,141.078125,95.20422363,11078300
2000-02-16 00:00:00,140.375,140.9375,138.796875,139,93.80185699,8845400
2000-02-17 00:00:00,140.4375,140.4375,138.21875,138.28125,93.31682587,7584200
2000-02-18 00:00:00,138.875,138.875,134.625,135.3125,91.31342316,9409200
2000-02-22 00:00:00,135.1875,136.34375,133.53125,134.96875,91.08142853,16415400
2000-02-23 00:00:00,135.625,137.46875,134.5,136.5625,92.15692902,12119000
2000-02-24 00:00:00,136.6875,137.03125,133.09375,133.8125,90.30115509,17375000
2000-02-25 00:00:00,135.1875,136.71875,133.125,133.328125,89.97428894,10559900
2000-02-28 00:00:00,133.375,136.6875,132.71875,136.125,91.86169434,13397800
2000-02-29 00:00:00,136.0625,137.4375,135.75,137.4375,92.74737549,8242500
2000-03-01 00:00:00,137.625,139,137.21875,138.4375,93.4222641,6868000
2000-03-02 00:00:00,138.6875,139.125,137.34375,138.53125,93.48550415,7600200
